"FullPath","Size","LastWriteTime","Attributes"
"C:\Windows\System32\0409","1","9/15/2018 4:08:07 PM","Directory"
"C:\Windows\System32\AdvancedInstallers","1","11/6/2022 2:03:53 AM","Directory"
"C:\Windows\System32\am-et","1","9/15/2018 2:19:08 PM","Directory"
"C:\Windows\System32\AppLocker","1","9/15/2018 2:19:01 PM","Directory"
"C:\Windows\System32\appraiser","1","11/6/2022 2:03:53 AM","Directory"
"C:\Windows\System32\AppV","1","9/15/2018 4:10:33 PM","System, Directory"
"C:\Windows\System32\ar-SA","1","11/6/2022 2:03:53 AM","Directory"
"C:\Windows\System32\BestPractices","1","9/15/2018 2:19:01 PM","Directory"
"C:\Windows\System32\bg-BG","1","11/6/2022 2:03:53 AM","Directory"
"C:\Windows\System32\Boot","1","11/6/2022 2:03:53 AM","Directory"
"C:\Windows\System32\Bthprops","1","9/15/2018 2:19:08 PM","Directory"
"C:\Windows\System32\CatRoot","1","9/15/2018 2:19:01 PM","Directory"
"C:\Windows\System32\catroot2","1","8/31/2025 2:41:33 PM","Directory, NotContentIndexed"
"C:\Windows\System32\CodeIntegrity","1","11/6/2022 2:03:50 AM","Directory"
"C:\Windows\System32\com","1","11/6/2022 2:03:53 AM","Directory"
"C:\Windows\System32\config","1","8/31/2025 4:29:08 PM","Directory"
"C:\Windows\System32\Configuration","1","9/15/2018 2:19:01 PM","System, Directory"
"C:\Windows\System32\cs-CZ","1","11/6/2022 2:03:53 AM","Directory"
"C:\Windows\System32\da-DK","1","11/6/2022 2:03:53 AM","Directory"
"C:\Windows\System32\DDFs","1","9/15/2018 2:19:08 PM","Directory"
"C:\Windows\System32\de-DE","1","11/6/2022 2:03:53 AM","Directory"
"C:\Windows\System32\DiagSvcs","1","11/6/2022 2:03:53 AM","System, Directory"
"C:\Windows\System32\Dism","1","11/6/2022 2:03:53 AM","Directory"
"C:\Windows\System32\downlevel","1","9/15/2018 1:09:29 PM","Directory"
"C:\Windows\System32\drivers","1","8/31/2025 2:51:04 PM","Directory"
"C:\Windows\System32\DriverState","1","9/15/2018 2:19:01 PM","Directory"
"C:\Windows\System32\DriverStore","1","8/31/2025 2:41:33 PM","Directory"
"C:\Windows\System32\dsc","1","9/15/2018 4:08:08 PM","System, Directory"
"C:\Windows\System32\el-GR","1","11/6/2022 2:03:53 AM","Directory"
"C:\Windows\System32\en","1","11/6/2022 2:03:53 AM","Directory"
